,,,,,,,,,,,,,,,,Normalised abundance,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,KO RD,,WT RD,,KO RD,,WT RD,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),CCS (angstrom^2),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1,Anova p-value KOvsWT DAA<= 0.05,Max fold change WT vsKO DAA>= 2,Anova p-value WT vs KO RD <= 0.05,Max fold change WT vs KO RD >= 2,Anova p-value WT vs KO R<= 0.05,Max fold change WT vs KO R >= 2,Anova p-value KO daa vs daarsl3 <= 0.05,Max fold change KO daa vs daarsl3  >= 2,Anova p-value WT daa vs daarsl3 <= 0.05,Max fold change WT daa vs daarsl3 >= 2,Anova p-value <= 0.05 ko c vs dr,Max fold change >= 2 ko c vs dr,Anova p-value <= 0.05 wt c vs dr,Max fold change >= 2 wt c vs dr,Anova p-value <= 0.05 ko c vs d,Max fold change >= 2 ko c vs d,Anova p-value <= 0.05 wt c vs d,Max fold change >= 2 wt c vs d,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),dCCS (angstrom^2),Compound Link
1.17_342.3297m/z,,342.329741,1,1.173916667,190.2047134,0.378016667,0,0.000376059,0.087854549,1.263974356,WT RD,KO RD,100 - 13.8,506.1598086,0.39,401.5442229,399.3577987,504.3211317,507.9984855,389.7289775,425.3158472,511.7172403,514.7328066,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.30_704.4043m/z,,704.4043278,1,1.295216667,259.5095794,0.2567,0,0.000396138,0.088338876,1.433589983,WT RD,KO RD,100 - 23.1,504.3454361,0.17,352.2409083,351.3709221,507.9075747,500.7832975,341.8763893,374.2098487,515.3562801,507.4219699,,,x,,x,,,,,,x,,x,x,x,,x,x,,,,,,,,,,,
1.14_755.6790n,755.6789812,790.6270263,1,1.140066667,274.7458909,0.431616667,0,0.000447419,0.090444575,1.724163847,WT RD,KO RD,100 - 57.3 - 12.1 - 7.01 - 1.88 - 2.44,6567.473517,0.76,3770.201548,3847.953221,6532.287461,6602.659573,3659.265183,4098.068173,6628.086554,6690.188239,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,"M-H2O-H, M-H, M+Cl",,,,,,,,
1.09_877.7215m/z,,877.7215399,1,1.08645,290.0097904,0.155166667,0,0.000447461,0.090444575,2.833279416,WT RD,KO RD,100 - 30.8 - 15.6,181.0501758,1.28,65.18524378,62.61731235,179.4107183,182.6896333,63.26719939,66.68740498,182.0418616,185.1114725,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
3.93_777.5907m/z,,777.5907346,1,3.933116667,214.7295443,0.155166667,0,0.000460888,0.090444575,5.588454569,WT RD,KO RD,100 - 24.1,67.12206452,0.02,12.45575989,11.56593114,67.11074768,67.13338135,12.08925516,12.31771063,68.09495862,68.0233402,x,x,x,x,,,x,,,,,,x,x,x,,x,x,,,,,,,,,,,
1.14_725.6111n,725.6110889,762.5950135,1,1.140066667,265.4483872,1.207483333,0,0.000535162,0.098335203,1.603575366,WT RD,KO RD,100 - 59 - 11.4 - 2.19 - 0.242,25149.95301,0.89,15543.18775,15824.15993,24992.47059,25307.43544,15085.83694,16852.72207,25358.99702,25642.92541,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,"M+Cl, M+K-2H, M+CH3COO",,,,,,,,
1.36_626.6099n,626.6099266,663.6149152,1,1.362916667,256.6458941,0.708183333,0,0.000560565,0.098335203,1.562328569,WT RD,KO RD,100 - 28,1070.752455,0.98,680.6120202,690.1015119,1062.20309,1079.30182,660.5853394,734.9577501,1077.780802,1093.609668,x,,x,,,,,,,,x,,x,x,x,,x,x,,,"M+Na-2H, M+K-2H",,,,,,,,
7.19_830.6838n,830.6838394,829.645077,1,7.191366667,296.5619547,0.34415,0,0.000561228,0.098335203,1.224301319,WT RD,KO RD,100 - 41.2 - 59.6,1153.924807,0.2,946.8278919,938.2061096,1155.59138,1152.258234,918.9679373,999.1890172,1172.538676,1167.533234,x,,x,,x,,,,,,,,,,,,,,,,"M-H2O-H, M-H",,,,,,,,
7.19_816.6728n,816.6727692,797.654928,1,7.191366667,284.1599208,0.93125,0,0.000593099,0.100336003,1.27347521,WT RD,KO RD,100 - 49.8 - 65.6,7604.872913,0.54,5944.900831,5998.594969,7575.931872,7633.813955,5769.974987,6388.500512,7687.036505,7735.012198,x,,x,,x,,,,x,,,,,,,,x,,,,"M-H2O-H, M-H",,,,,,,,
1.30_687.4987m/z,,687.4986955,1,1.295216667,253.2981156,0.189,0,0.000648956,0.100726878,2.065131259,WT RD,KO RD,100 - 40.4 - 29.9 - 6.51,5047.561839,1.74,2414.125464,2474.243561,4977.927642,5117.196037,2343.090985,2635.068101,5050.931311,5185.032541,x,,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
5.05_756.6069n,756.6069036,755.5661655,1,5.053083333,278.1195152,0.620616667,0,0.000650381,0.100726878,1.213067984,KO RD,WT RD,100 - 64.1 - 27.4 - 17.8,39511.52444,0.21,39326.22445,39696.82442,32620.87047,32522.2624,38169.06924,42277.0973,33099.27101,32953.39628,x,,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,"M-H2O-H, M-H",,,,,,,,
1.36_649.0341m/z,,649.0340567,1,1.362916667,247.2473688,0.155166667,0,0.000666073,0.100726878,2.866990883,WT RD,KO RD,100,156.5256851,0.43,56.07172444,53.1198925,156.05252,156.9988503,54.42184096,56.57265779,158.3411042,159.0801177,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.14_782.5737m/z,,782.5736769,1,1.140066667,271.6397786,0.15515,0,0.000680348,0.100726878,1.850797574,WT RD,KO RD,100 - 72.3,4926.783836,1.27,2685.839591,2638.117935,4861.109116,4992.458556,2606.810055,2809.594224,4932.399586,5058.641468,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
5.09_790.5464m/z,,790.5464267,1,5.086916667,281.0517684,0.499316667,0,0.000709997,0.100726878,1.490655227,WT RD,KO RD,100 - 46.4,16267.23442,0.51,11021.99685,10803.61933,16208.17357,16326.29527,10697.6799,11505.84895,16445.87412,16542.72606,x,,x,,x,,,,,,x,,x,,x,,x,,,,,,,,,,,,
4.90_832.7579m/z,,832.7579464,1,4.897916667,287.1046361,0.10155,0,0.000718598,0.100726878,Infinity,KO RD,WT RD,100 - 22.3,8.723156544,10.9,8.051048656,9.395264432,0,0,7.814150428,10.00595172,0,0,,,x,x,x,,x,x,,,x,x,x,x,x,x,,,,,,,,,,,,,
1.21_729.6659m/z,,729.6658583,1,1.20775,265.6605097,0.242616667,0,0.000832889,0.113504283,1.849539247,WT RD,KO RD,100 - 31.6 - 9.71,641.8924748,1.19,341.6297796,352.4809031,636.4837897,647.3011599,331.5774879,375.3919778,645.8181263,655.8821576,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
0.83_839.6405m/z,,839.6404934,1,0.82975,280.7704657,0.310316667,0,0.000929543,0.121638257,1.664057945,KO RD,WT RD,100 - 42.7 - 22.4 - 13.3,2650.24616,1.21,2672.853167,2627.639153,1571.956552,1613.324546,2594.20575,2798.434326,1595.01004,1634.711707,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.30_437.2641m/z,,437.2640829,1,1.295216667,201.5277774,0.397766667,0,0.000991193,0.121638257,1.55356784,WT RD,KO RD,100 - 13.7,993.0859266,0.2,630.4001449,648.0582542,994.4731354,991.6987178,611.8509243,690.1817025,1009.057555,1004.845248,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
7.23_726.5796m/z,,726.5795849,1,7.225216667,268.8417201,0.1213,0,0.001006708,0.121638257,1.274305492,WT RD,KO RD,100 - 65.1 - 24.5,81.32805422,0.28,63.9482945,63.69465255,80.72339461,81.93271384,62.06664674,67.83477173,81.90724147,83.01886118,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
0.36_377.2327m/z,,377.2327106,1,0.364283333,199.2544298,0.242616667,0,0.001013115,0.121638257,1.063153338,KO RD,WT RD,100 - 17.9,74.07446281,0.07,74.03715504,74.11177058,69.54298866,69.80560793,71.85864742,78.928997,70.56286957,70.73099135,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
0.59_406.3394n,406.3394018,441.3189822,1,0.587133333,198.2519348,0.533166667,0,0.001037109,0.121638257,1.120698383,WT RD,KO RD,100 - 26.3 - 10.5,1593.009488,0.22,1416.711741,1426.175359,1595.481189,1590.537787,1375.025681,1518.876013,1618.879677,1611.622874,x,,x,,,,x,,,,x,,x,,x,,x,,,,"M-H2O-H, M-H, M+Cl",,,,,,,,
5.09_790.9927m/z,,790.9926789,1,5.086916667,284.2005145,0.101533333,0,0.001041339,0.121638257,2.052413768,WT RD,KO RD,99.3 - 100 - 49,188.0087889,1.63,93.44938066,89.75811073,185.837666,190.1799117,90.69967765,95.59234109,188.5630635,192.7010464,x,,x,x,x,,,,,,x,x,x,,x,x,x,x,,,,,,,,,,,
1.64_773.8457m/z,,773.8456802,1,1.639366667,278.00207,0.22285,0,0.001117651,0.127268986,1.2706051,WT RD,KO RD,100,166.2773106,0.09,129.8194043,131.9099255,166.1682493,166.3863719,125.9995309,140.4840018,168.6051855,168.5920857,,,x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,
0.86_800.6816m/z,,800.6816475,1,0.8636,277.8392831,0.15515,0,0.001141426,0.127268986,2.024898481,KO RD,WT RD,100 - 53.6 - 16.1,368.9456477,1.43,365.211594,372.6797014,186.1413276,178.2677044,354.4654188,396.9036875,188.8711784,180.630924,x,x,x,x,x,x,,,,,x,,x,,x,,x,,,,,,,,,,,,
1.64_676.4551m/z,,676.4550875,1,1.639366667,253.3790443,0.4317,0,0.001182535,0.127815161,1.129120146,WT RD,KO RD,100 - 27.7,330.5561905,0.25,293.2655302,292.245572,331.8120384,329.3003426,284.6363332,311.2413817,336.6782193,333.6657379,x,,x,,,,x,,x,,x,,,,x,,x,,,,,,,,,,,,
4.93_850.6209m/z,,850.6208586,1,4.931766667,287.0065229,0.411866667,0,0.00119843,0.127815161,1.273518482,WT RD,KO RD,71.8 - 67.1 - 81.8 - 100,3876.282708,0.23,3048.692665,3038.824341,3908.138045,3844.427371,2958.986352,3236.346338,3965.452742,3895.391319,,,x,,,,x,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.17_763.7316n,763.7315862,762.7243097,1,1.173916667,265.4475901,0.189,0,0.001341939,0.138422237,1.869370558,WT RD,KO RD,100 - 85.5 - 18.3,763.704088,1.36,412.4720116,404.5988304,747.8124936,779.5956823,400.3352214,430.8975433,758.7795184,789.9304526,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,"M-H, M+Na-2H",,,,,,,,
6.26_985.6724m/z,,985.6723629,1,6.26045,314.6049068,0.208766667,0,0.001365654,0.138422237,1.739228212,WT RD,KO RD,93.2 - 73.3 - 100,371.8115393,1.44,215.9609294,211.5983026,365.2145477,378.4085309,209.6063831,225.3520819,370.5705922,383.4249328,x,,x,,x,,,,x,,x,x,x,x,x,x,x,x,,,,,,,,,,,
5.09_743.5572n,743.557237,764.5319048,1,5.086916667,271.7505108,0.27645,0,0.001385924,0.138422237,1.0903106,WT RD,KO RD,100 - 49.3,13580.77271,0.28,12480.75822,12430.9921,13546.43905,13615.10637,12113.51792,13239.0001,13745.104,13795.59608,x,,x,,x,,,,,,x,,x,,x,,x,,,,"M+Na-2H, M+Cl",,,,,,,,
7.19_836.7024n,836.7024282,857.677096,1,7.191366667,302.6896679,0.86355,0,0.001440442,0.138422237,1.234966725,WT RD,KO RD,100 - 53.8 - 68.8 - 13 - 1.45 - 0.581 - 0.228,20694.88674,0.04,16623.14766,16891.74197,20688.84216,20700.93132,16134.01955,17989.69638,20992.25384,20975.35481,x,,x,,x,,,,,,x,,x,,x,,x,,,,"M+Na-2H, M+Cl",,,,,,,,
1.14_816.6417m/z,,816.641671,1,1.140066667,277.7475011,0.310316667,0,0.001445969,0.138422237,2.895141626,WT RD,KO RD,100 - 56.2 - 65.4,2371.984452,2.77,790.272427,848.3240627,2325.585941,2418.382964,767.0190415,903.4646841,2359.691762,2450.442444,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
