Compound,m/z,Retention time (min),CCS (angstrom^2)
3.16_897.6268n,896.619512223478,3.15735,302.481715361451
6.45_863.6493m/z,863.649306023014,6.44945,290.082848347534
5.05_756.6069n,755.566165489216,5.05308333333333,278.119515241304
3.10_887.8296m/z,887.829563281921,3.10373333333333,302.527071772236
3.16_896.8864m/z,896.886430366313,3.15735,305.620079172907
0.83_862.6409n,861.633576542422,0.82975,290.093507136706
3.38_810.8444m/z,810.844365834412,3.3802,280.931367871166
5.05_724.3038m/z,724.303796052173,5.05308333333333,262.535468048439
5.05_264.2717m/z,264.271678004167,5.05308333333333,182.447159101502
1.55_799.5880n,780.57019586433,1.55191666666667,271.651824629583
6.48_778.6154n,799.60265217502,6.4833,274.693124772282
6.45_870.7045n,905.692634707957,6.44945,302.435814231144
5.05_314.3821m/z,314.382057816054,5.05308333333333,184.314567769433
5.09_778.6152n,777.607922687982,5.08691666666667,274.824573936909
5.28_783.6647n,818.634131047055,5.27593333333333,284.036372781361
6.11_342.3307m/z,342.330695918387,6.1053,190.204693347155
0.86_769.6037n,806.587885870294,0.8636,277.804898031002
1.30_702.0164m/z,702.016396406562,1.29521666666667,259.526458172578
0.93_895.7507n,894.743469097109,0.9313,293.067320494802
5.02_748.6059n,783.59796370553,5.01923333333333,284.246372612684
5.12_728.1984m/z,728.198358960667,5.12076666666667,265.67040536298
5.05_734.8926n,755.884131113217,5.05308333333333,278.117424212891
6.33_907.7926n,966.777842735174,6.32815,311.555728280874
6.33_938.6758n,937.668475357146,6.32815,302.281078177247
0.83_833.6046m/z,833.604636732953,0.82975,280.803278497633
1.21_729.0472m/z,729.047216617358,1.20775,262.503667518993
1.30_701.8875m/z,701.887464841667,1.29521666666667,259.527372743084
5.09_803.6260m/z,803.626033067007,5.08691666666667,284.124105333144
1.21_727.9118m/z,727.911772701179,1.20775,262.511242306657
1.21_692.5480n,727.517351571152,1.20775,262.51387905573
0.93_895.6121n,894.604797187553,0.9313,293.068009974659
5.05_722.8946m/z,722.894560765695,5.05308333333333,262.544995412111
6.45_878.6684n,899.65518417528,6.44945,302.466255544804
1.21_729.1852m/z,729.185163890829,1.20775,262.50274883565
1.17_754.5429m/z,754.542872107462,1.17391666666667,265.498562478608
6.52_763.6259m/z,763.625937381281,6.51715,265.442038907345
3.16_943.6687n,924.650869349429,3.15735,311.755498914644
1.17_342.3297m/z,342.329741013539,1.17391666666667,190.204713411193
5.02_789.7755m/z,789.775466381697,5.01923333333333,284.208004506792
6.29_945.7180n,966.704274527496,6.2943,311.55606207961
0.83_830.5815m/z,830.58151028776,0.82975,283.968780323752
1.14_725.6111n,762.595013538165,1.14006666666667,265.448387167939
1.30_701.8079m/z,701.807851860941,1.29521666666667,259.527937640538
5.05_724.1658m/z,724.16577621626,5.05308333333333,265.697802659885
5.05_722.9466m/z,722.946623484186,5.05308333333333,265.706145171069
6.36_919.7027n,918.695397892914,6.362,299.232262957774
1.21_735.5717n,756.554667781415,1.20775,265.485927180682
5.05_734.7163n,755.703717865667,5.05308333333333,278.118610445443
5.80_891.6651n,890.657833830949,5.795,293.087723700322
5.05_761.7419m/z,761.741905535295,5.05308333333333,278.079211441981
5.05_748.5297m/z,748.529708272242,5.05308333333333,271.853151532057
3.10_884.1776m/z,884.177590326051,3.10373333333333,296.263127051498
0.62_369.3644n,390.340211080674,0.620983333333333,202.255684690942
0.78_843.6165n,878.585878538302,0.77615,293.149109815839
4.31_585.8916n,606.879107460254,4.31115,196.631411296391
3.16_898.3094m/z,898.309447025957,3.15735,302.473096207065
0.90_885.6479n,922.634292961004,0.89745,302.352504853212
1.36_648.8862m/z,648.886164488297,1.36291666666667,247.248534415743
5.05_308.3440m/z,308.344043485558,5.05308333333333,184.462139729136
0.93_892.5886m/z,892.588586928516,0.9313,293.078058634802
1.33_675.4929m/z,675.492883710935,1.32906666666667,253.386219533348
3.16_890.7223m/z,890.722328055439,3.15735,302.512046943784
5.05_761.9218m/z,761.921784855481,5.05308333333333,278.07804722827
6.42_794.6755n,829.630659934388,6.4156,277.675389928048
1.30_673.9764m/z,673.976447788471,1.29521666666667,250.228251734338
5.12_824.6560n,805.638175007212,5.12076666666667,284.11215484608
1.21_706.5330m/z,706.532985449493,1.20775,253.16451174078
1.36_649.1464m/z,649.146381710958,1.36291666666667,247.246483773104
6.29_951.7671n,986.757272032043,6.2943,314.600127794371
0.67_314.2984m/z,314.298413372865,0.6746,187.581506705287
0.78_865.6552m/z,865.655239997332,0.77615,286.92705910121
3.10_922.6345m/z,922.634471679481,3.10373333333333,305.490904251938
0.93_893.1586m/z,893.158618693989,0.9313,293.075213068638
4.66_863.6801n,844.662269032763,4.6553,211.264613555503
6.26_1035.7704m/z,1035.77041697301,6.26045,326.912289627045
1.45_771.6722n,808.597171984016,1.45036666666667,277.793313876236
0.62_398.3917m/z,398.391723632813,0.620983333333333,205.348061944547
3.19_868.7256m/z,868.725638608298,3.1912,283.76532559786
0.83_868.6778n,867.670477254598,0.82975,290.061731952824
1.36_649.0341m/z,649.034056692893,1.36291666666667,247.247368751146
6.45_864.7917n,863.784449423296,6.44945,290.082135500721
3.16_891.0059m/z,891.005898684658,3.15735,305.650620380803
6.36_925.7515n,946.72618338224,6.362,305.376356131029
1.14_755.6790n,790.627026334272,1.14006666666667,274.745890891669
6.52_880.7126n,879.677721246319,6.51715,299.4285411624
6.36_928.6904n,927.683149931754,6.362,302.32826168082
5.05_690.6162n,727.545204714954,5.05308333333333,265.674822460415
5.48_820.6020m/z,820.602024869894,5.48468333333333,280.875591154338
0.62_841.6950n,878.668624302134,0.620983333333333,302.575300767164
3.10_884.1024m/z,884.102362338757,3.10373333333333,293.120851994116
1.30_701.9391m/z,701.939145019367,1.29521666666667,259.52700611201
1.14_810.6040m/z,810.604025507135,1.14006666666667,280.932758507573
5.05_271.3170n,308.262318863651,5.05308333333333,184.464175944848
5.09_822.6013m/z,822.601283850089,5.08691666666667,290.310116707572
4.12_761.0628m/z,761.062827381527,4.12211666666667,211.636713213994
0.83_839.6405m/z,839.640493362821,0.82975,280.77046570948
5.05_303.4788m/z,303.478803956148,5.05308333333333,184.585230272331
4.12_720.0570n,757.037177828665,4.12211666666667,211.656686765657
6.42_904.6830n,903.675751253298,6.4156,302.445938616171
5.12_765.5962n,824.610980511199,5.12076666666667,290.298467288867
4.97_759.5975m/z,759.597545817803,4.96561666666667,268.624744491865
6.42_837.5896n,818.571752630823,6.4156,277.736642271262
4.50_754.6686n,789.641912860329,4.50015,284.208827705259
3.19_1116.5103m/z,1116.51032030781,3.1912,329.725631778559
4.78_856.6596n,877.643811278885,4.77661666666667,290.010187598987
5.02_748.0449m/z,748.04494403895,5.01923333333333,271.856328802308
3.16_890.5767m/z,890.576701521219,3.15735,302.512801002966
0.93_890.2471m/z,890.247072421151,0.9313,293.089785278388
5.05_750.2171m/z,750.217147446789,5.05308333333333,274.998950910585
3.19_882.6065m/z,882.606543726038,3.1912,293.128479589106
0.83_850.5709m/z,850.570913128036,0.82975,290.15289665366
0.52_817.5884n,852.573047709739,0.519433333333333,286.99604756522
3.10_894.7434m/z,894.743404948721,3.10373333333333,293.0673208137
3.16_897.1035m/z,897.103481241892,3.15735,302.47924368692
6.36_877.6909n,912.659714698414,6.362,299.261536345789
0.93_745.8083m/z,745.808290317489,0.9313,268.713044653649
4.12_739.5869n,760.561539605401,4.12211666666667,211.639188966615
1.14_894.5290m/z,894.52896196699,1.14006666666667,296.210486717568
5.24_796.5171m/z,796.517058480126,5.24208333333333,284.166806244379
1.48_765.5784n,800.547819730069,1.48421666666667,274.687636575863
6.26_1026.7844m/z,1026.78436542941,6.26045,326.94995367641
5.05_733.5813m/z,733.581341170501,5.05308333333333,265.634298563082
5.05_729.5283n,788.526934409635,5.05308333333333,281.064083443183
1.24_701.5090m/z,701.508978800344,1.2416,259.530059440845
2.14_789.6073m/z,789.607342990985,2.13876666666667,277.905130351286
1.02_783.6115m/z,783.61151769927,1.01875,287.397460326413
1.17_796.5641n,777.546237725411,1.17391666666667,271.670122795594
2.23_798.6864n,833.629470857055,2.22643333333333,287.099752440812
1.30_675.0762m/z,675.076204651296,1.29521666666667,250.220118904882
5.28_812.5985m/z,812.598517691987,5.27593333333333,284.071268719368
0.93_773.8451m/z,773.845098775407,0.9313,278.002073663966
0.62_939.7055n,920.687704548049,0.620983333333333,299.22268379682
0.98_956.5578m/z,956.557811044992,0.9849,308.467284023565
5.95_608.4635n,645.448958838899,5.95015,247.275774878109
5.24_714.9393m/z,714.939325434791,5.24208333333333,259.436447650404
6.36_911.7598n,932.710554292392,6.362,302.3043804082
4.28_730.0183m/z,730.018349196271,4.2773,208.619028885364
2.14_762.5821n,783.566254554435,2.13876666666667,277.941828180742
4.93_850.6209m/z,850.62085855027,4.93176666666667,287.006522869608
3.00_956.6967n,955.689426947423,3.0022,302.19840171992
0.93_889.5741n,888.566866070179,0.9313,296.240657429014
6.45_831.6058n,852.580494628928,6.44945,290.141994641799
0.62_362.3087m/z,362.308685062728,0.620983333333333,196.295696047256
7.23_690.5678n,689.560497907994,7.22521666666667,262.781599553986
5.09_790.5464m/z,790.546426680417,5.08691666666667,281.051768371027
5.09_776.7309n,797.71935754242,5.08691666666667,284.159531470753
4.50_858.6695m/z,858.669519458088,4.50015,283.817222646598
6.45_871.6262m/z,871.626170534853,6.44945,296.32861948825
1.14_753.6430n,788.612365730552,1.14006666666667,271.603837954547
1.14_714.5572n,751.527998569585,1.14006666666667,265.517623226756
0.90_736.6774n,773.663747421113,0.89745,278.003211822923
5.02_746.5154m/z,746.515383457235,5.01923333333333,271.86638074452
6.42_789.6441m/z,789.644147149898,6.4156,274.751741311444
5.02_715.5528n,750.543916207031,5.01923333333333,278.152775800603
4.35_707.0502n,744.033132440087,4.345,211.722670647388
1.14_782.5737m/z,782.57367687768,1.14006666666667,271.639778646081
5.09_793.6622n,828.647106399835,5.08691666666667,290.275240760548
