,,,,,,,,,,,,,,,,"Normalised abundance",,,,,,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"KO C",,"KO D",,"KO R",,"KO RD",,"WT C",,"WT D",,"WT R",,"WT RD",,"KO C",,"KO D",,"KO R",,"KO RD",,"WT C",,"WT D",,"WT R",,"WT RD",,"Tags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","CCS (angstrom^2)","Chromatographic peak width (min)","Identifications","Anova (p)","q Value","Max Fold Change","Highest Mean","Lowest Mean","Isotope Distribution","Maximum Abundance","Minimum CV%","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2","Anova p-value KOvsWT DAA<= 0.05","Max fold change WT vsKO DAA>= 2","Anova p-value WT vs KO RD <= 0.05","Max fold change WT vs KO RD >= 2","Anova p-value WT vs KO R<= 0.05","Max fold change WT vs KO R >= 2","Anova p-value KO daa vs daarsl3 <= 0.05","Max fold change KO daa vs daarsl3  >= 2","Anova p-value WT daa vs daarsl3 <= 0.05","Max fold change WT daa vs daarsl3 >= 2","Anova p-value <= 0.05 ko c vs dr","Max fold change >= 2 ko c vs dr","Anova p-value <= 0.05 wt c vs dr","Max fold change >= 2 wt c vs dr","Anova p-value <= 0.05 ko c vs d","Max fold change >= 2 ko c vs d","Anova p-value <= 0.05 wt c vs d","Max fold change >= 2 wt c vs d","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","dCCS (angstrom^2)","Compound Link"
"4.97_760.0107m/z",,"760.01065188933","1","4.96561666666667","278.090444375906","0.121316666666667","0","6.66133814775094E-16","9.63318209341922E-14","Infinity","KO D","KO C","100 - 25.7 - 37.3","446.035628019697","2.94","0","0","456.404767311474","435.66648872792","0","0","392.625804559976","430.898647512632","0","0","306.446635837639","342.842834946102","0","0","266.175033264624","277.478818920883","0","0","471.470621059256","435.993095705333","0","0","381.072979401335","458.906834747435","0","0","308.179636744244","358.514157815339","0","0","269.703603116927","281.548177372373","x",,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"4.93_918.7569m/z",,"918.756892465393","1","4.93176666666667","299.231966670452","0.10155","0","9.99200722162641E-16","1.28442427912256E-13","Infinity","WT D","KO C","100 - 60.5","126.328751088721","1.84","0","0","83.4489270961887","77.9407800183754","0","0","52.7458881567633","58.5105435138974","0","0","124.225159261585","128.432342915856","0","0","101.135511365619","103.802442248551","0","0","86.2035638157971","77.9992100405086","0","0","51.1938658071491","62.3136983100593","0","0","124.92767085234","134.302976651","0","0","102.476222070244","105.324754284086","x",,"x",,,,"x",,"x",,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.12_805.7723m/z",,"805.772282143339","1","5.12076666666667","287.261037202889","0.1213","0","3.10862446895044E-15","3.59638798154318E-13","Infinity","WT D","KO C","100 - 26.7","575.276293200953","0.66","0","0","478.094251311902","575.861065367049","0","0","549.882818793575","506.286767973941","0","0","577.958534428599","572.594051973308","0","0","520.574806524488","513.531146870471","0","0","493.876071713012","576.29277229617","0","0","533.702781746894","539.195143699352","0","0","581.226975152079","598.767287481903","0","0","527.475846586891","521.062324640175",,,,,,,,,"x",,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"6.45_822.6419n","822.641927054002","857.612075562552","1","6.44945","290.114920571591","0.27645","0","7.21644966006352E-15","7.58977983117878E-13","4.24505561137594","WT D","WT C","100 - 78.5","5911.77398774549","0.15","1440.44119708695","1437.43094066954","5893.58799736576","5786.91942835397","1400.08958191524","1425.91631895745","5601.61635360242","5784.17569928727","1400.21208189134","1385.03952795945","5931.46230996739","5892.08566552359","1404.74941732672","1393.75193043838","5263.80550982639","5325.2912738273","1490.33229276471","1521.87490652142","6088.13446396171","5791.25771994152","1400.08958191524","1491.24794877323","5436.79149087725","6160.14410141572","1528.21286710265","1440.34980815258","5965.0056038351","6161.4125040213","1482.57562426786","1500.02456001031","5333.58555344113","5403.38919544911",,,,,,,,,"x",,"x","x","x","x","x","x","x","x",,,"M-H2O-H, M+Na-2H, M+Cl",,,,,,,,
"3.16_896.9563m/z",,"896.956319958261","1","3.15735","302.479994973126","0.552916666666667","0","8.10462807976364E-15","7.81358103132892E-13","Infinity","KO D","KO C","100 - 7.37","1729.34174880295","0.50","0","0","1735.45887322649","1723.22462437942","0","0","1423.60571299781","1713.34839291617","0","0","1360.24096650245","1634.12559912253","0","0","1377.60367684743","1447.56752878137","0","0","1792.7461135052","1724.51647766751","0","0","1381.71680068972","1824.71514438836","0","0","1367.93332971508","1708.82137007764","0","0","1395.86598621179","1468.79679298343",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"3.16_897.1882m/z",,"897.188187733593","1","3.15735","302.47881135516","0.41185","0","8.99280649946377E-15","7.89003485746717E-13","Infinity","KO D","KO C","94.7 - 100","1586.41816097753","0.61","0","0","1579.53372842646","1593.3025935286","0","0.107964687678175","1360.40135375331","1621.17564187232","0","0","1300.72796824811","1538.89272341049","0","0","1334.95659371484","1355.20176109716","0","0","1631.67390277727","1594.49704790515","0","0.112911337712816","1320.37219926841","1726.55121262468","0","0","1308.08377668131","1609.23540603787","0","0","1352.65354873328","1375.0764375191",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"3.10_922.7760m/z",,"922.776018960891","1","3.10373333333333","308.627874557077","0.2567","0","9.54791801177635E-15","7.89003485746717E-13","Infinity","KO D","KO C","100 - 34.6","307.340242065762","1.29","0","0","304.540549688635","310.13993444289","0","0","242.236675648806","283.688618872304","0","0","250.459886487577","261.988239397699","0","0","224.463155595334","256.194037110989","0","0","314.593388112969","310.372437674569","0","0","235.108978161073","302.128231063301","0","0","251.876274072205","273.963704156033","0","0","227.438768725056","259.95124414464","x",,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.05_761.6121m/z",,"761.612050352852","1","5.05308333333333","278.080052228573","0.533166666666666","0","1.0547118733939E-14","8.13468710110956E-13","92.3211104264418","KO D","KO R","100 - 51.3 - 20.5","30020.3901240225","0.26","344.694029517012","346.519756433343","29914.3211558963","30126.4590921487","327.583545464869","322.76370415886","28831.7784888897","28995.6411956828","566.946808911231","497.744050627661","23269.2502042577","24470.1666610968","511.79113868946","503.041123310944","23047.021804353","22961.2313803104","356.632845791474","366.876562211873","30901.7884651309","30149.0440556445","327.583545464869","337.551864275784","27983.4172960534","30880.3427427631","618.774412495155","517.621001681351","23400.8412448635","25588.6963292767","540.145493266158","541.397664234446","23352.546425978","23297.9687260201","x",,"x",,"x",,"x",,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"3.16_893.9342m/z",,"893.934249024398","1","3.15735","302.495477498968","0.22285","0","1.22124532708767E-14","8.83041691896762E-13","Infinity","KO RD","KO C","100","270.863275593856","0.75","0","0","255.139101020554","252.438602106043","0","0","248.483765045555","293.242786142157","0","0","209.950323328858","237.755499760076","0","0","203.491538040438","214.805597362331","0","0","263.561204943699","252.627848263251","0","0","241.172249961747","312.303414220095","0","0","211.137623361298","248.623287623465","0","0","206.189139304995","217.95582330193",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"3.16_899.8980m/z",,"899.897979654713","1","3.15735","302.465023526983","0.2567","0","1.7874590696465E-14","1.18452461296859E-12","Infinity","KO D","KO C","100","305.710323196804","1.91","0","0","320.298387734005","291.122258659603","0","0","288.235084747241","321.229090626094","0","0","232.314163112045","277.366147873673","0","0","242.553708953672","249.178318572894","0","0","330.871390057527","291.340504871829","0","0","279.753906230706","342.108813891545","0","0","233.62793395567","290.044535791589","0","0","245.769140898889","252.832636767544",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"1.21_727.8306m/z",,"727.830589351548","1","1.20775","262.511784794961","0.101533333333333","0","1.84297022087776E-14","1.18452461296859E-12","Infinity","WT RD","KO C","100","133.224307044044","6.00","0","0","70.8428529740295","77.7757312687492","0","0","47.60379722165","52.8546854046285","0","0","121.838085366143","134.34960428555","0","0","127.571126022695","138.877488065392","0","0","73.1813650545879","77.8340375584526","0","0","46.2030784206901","56.2902123750538","0","0","122.52709770208","140.490715638932","0","0","129.262282491381","140.914192279352","x",,"x","x",,,"x",,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.05_336.3790m/z",,"336.378982543782","1","5.05308333333333","190.33191787205","0.208766666666667","0","2.75335310107039E-14","1.67651169064419E-12","Infinity","KO D","KO C","100","49.9168663042016","0.45","0","0","49.7585945131295","50.0751380952736","0","0","43.1735786175908","46.6551491226606","0","0","33.1431979433232","37.1911215440234","0","0","27.2931948524009","29.9856061903369","0","0","51.4011183457485","50.1126780252889","0","0","41.903216864876","49.6877094698286","0","0","33.3306276141584","38.8911252021925","0","0","27.655009194445","30.4253593233805","x",,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"6.21_849.7669m/z",,"849.766894510645","1","6.20683333333333","287.011120189512","0.189016666666666","0","3.06421554796543E-14","1.73703092986099E-12","Infinity","KO D","KO C","100","88.4034465659709","0.26","0","0","91.6780567763658","85.128836355576","0","0","73.1342828148101","72.8657041021688","0","0","61.2196959923503","71.439344458626","0","0","72.6790729218386","79.9095906265307","0","0","94.7043358474846","85.1926550624359","0","0","70.9823417741313","77.6019368456922","0","0","61.5659023991097","74.7048320770381","0","0","73.6425486560573","81.0815026637659",,,,,,,"x",,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.05_342.4169m/z",,"342.41694444914","1","5.05308333333333","190.202881583971","0.101533333333333","0","3.15303338993544E-14","1.73703092986099E-12","Infinity","KO D","KO C","100","38.1075191424499","0.64","0","0","37.9362375007904","38.2788007841094","0","0","35.3899097469999","31.5146193398421","0","0","28.595739951221","31.9863941167314","0","0","25.2601675925428","24.8582830776715","0","0","39.1885070800386","38.3074973300834","0","0","34.3485787011574","33.5630531518279","0","0","28.7574530766566","33.4484900351273","0","0","25.5950309519569","25.2228415860472",,,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.12_771.7017m/z",,"771.701667773826","1","5.12076666666667","274.861137071131","0.189","0","5.37347943918576E-14","2.66646480345844E-12","13.5636438557605","WT D","WT R","100 - 33.5 - 7.95","1864.27383409543","0.21","153.178451762498","148.469963726794","1844.34072285141","1849.72561294693","140.807629343889","147.432014024598","1735.02857205873","1771.78031549742","148.123565986202","157.04711417177","1848.77805976272","1879.76960842815","136.029223596605","138.863549159836","1809.68313949648","1706.96365283359","158.483937892796","157.192047127292","1905.22213685425","1851.11230048687","140.807629343889","154.186950226108","1683.97619214522","1886.94511144618","161.664323846914","163.318646292704","1859.23317226518","1965.69375048609","143.565541729287","149.451799621498","1833.67334357358","1731.99708419264",,,,,,,"x",,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"1.33_677.0948m/z",,"677.09476638897","1","1.32906666666667","253.374285377668","0.121316666666667","0","5.55111512312578E-14","2.66646480345844E-12","Infinity","WT D","KO C","100","203.719718705693","1.82","0","0","45.9789975342089","52.1406529284843","0","0","40.2298517348725","38.1943637776836","0","0","221.497990121588","185.941447289798","0","0","180.297221631727","175.716746794524","0","0","47.4967574305407","52.1797413171806","0","0","39.0461077275933","40.6769774924741","0","0","222.750593912271","194.440818308329","0","0","182.68734565238","178.293716205802","x","x","x","x",,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"1.17_756.6871m/z",,"756.687053812955","1","1.17391666666667","268.643116410621","0.15515","0","5.65103519534205E-14","2.66646480345844E-12","Infinity","WT RD","KO C","100 - 33.4 - 2.14","485.337135542468","5.09","0","0","211.471730730047","260.300221413356","0","0","204.931264674824","220.97143857047","0","0","513.71506432936","444.273669733985","0","0","502.807617889382","467.866653195555","0","0","218.452381229683","260.495361206605","0","0","198.901260933779","235.334466769216","0","0","516.620198757697","464.581389222411","0","0","509.473125845678","474.728139512802","x","x","x","x",,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"0.93_889.0476m/z",,"889.047569810053","1","0.9313","293.095816304991","0.654466666666667","0","5.76205749780456E-14","2.66646480345844E-12","Infinity","KO D","KO R","100 - 10.7","824.606303823656","4.84","0","0.0848340530951554","791.377474640459","857.835133006853","0","0","706.702621718562","913.192148815837","0","0","750.402776353906","835.898574486257","0","0","646.943583420357","692.763593730328","0","0.0898177526107002","817.500727827439","858.478228005343","0","0","685.90823751598","972.54916196273","0","0","754.646414689782","874.107441965634","0","0","655.519840917536","702.923300319806",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"0.93_896.2917m/z",,"896.291660143685","1","0.9313","293.059637231629","0.722166666666667","0","6.63913368725844E-14","2.95417584198189E-12","Infinity","KO D","KO C","100","909.132474539261","1.15","0","0","901.725967083963","916.538981994559","0","0","723.837221543404","934.280852540861","0","0","785.396646089707","943.848418156354","0","0","697.213835166647","730.027391328443","0","0","931.491807657212","917.226085626203","0","0","702.538659995266","995.008620425276","0","0","789.838179918259","986.991665711381","0","0","706.456504132266","740.733589179056",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"6.48_838.6401n","838.640054753972","859.626005909115","1","6.4833","293.248974022286","0.620616666666667","0","7.07212066686225E-14","3.03028987333731E-12","8.32228591233965","WT D","KO C","100 - 55.3 - 21.5 - 6.4 - 0.726","13758.3710743283","0.27","1650.04597509243","1656.34633568565","13276.9895639571","13049.0121902222","1699.97201855232","1656.54203805884","12701.1786931135","13079.390348304","1841.13290129869","1773.6104788257","13450.3554304145","14066.386718242","1708.22746070039","1694.11435446316","12153.7103394724","12770.2760315104","1707.19693813245","1753.65080399241","13715.2610223375","13058.7946695727","1699.97201855232","1732.4403146729","12327.4526286367","13929.543895796","2009.4405884644","1844.4379827034","13526.419173426","14709.3603067079","1802.86701863096","1823.28941303167","12314.8269377179","12957.558184789",,,,,,,,,,,"x","x","x","x","x","x","x","x",,,"M-H, M+Na-2H, M+Cl",,,,,,,,
